"To complete the payment using TIGO Money, a SMS will be sent to your mobile phone which will contain a PIN you will use to finish the transaction.","Para realizar las transaciones a traves de TIGO Money se enviara uma mensage a su celular pidiendo que coloque su PIN para realizar la transaccion."
"Enter your TIGO Phone Number","Introduce tu Número Tigo"
"Your store has two URIs which will be used by Tigo Payment Server. They are:","Tú tienda tiene dos URIs que serán utilizados por Tigo Payment Server. Estas Son:"
"Description ","Descripción"
"When test mode is enabled the module will use Tigo Money Secure Sandbox instead of the production environment.","Cuando el modo de prueba está habilitado, el módulo utilizará Tigo Money Secure Sandbox en lugar del entorno de producción"
"Enabling this option will create log entries for all requests to and from Tigo Payment Server in var/log/tigomoney.log","Habilitar esta opción creará entradas de registro para todas las solicitudes de y desde Tigo Payment Server en var/log/tigomoney.log"
"Sync Recent Pending Orders (Crontab Format)","Sincronizar Órdenes Pendientes (Crontab Format)"
"Leaving this field blank will default to the Magento behaviour: the link directs the user to the shopping cart. Use complete urls, including protocol and domain. Ex: http://www.tigomoney.com.sv/","Si deja este campo en blanco, el valor predeterminado será magento Comportamiento: el enlace dirige al usuario al carro de la compra. Use urls completas, incluyendo protocolo y dominio. Ex: http://www.tigomoney.com.sv/"
"Leaving this field blank will default to the Magento behaviour: the link directs the user to the home page. Use complete urls, including protocol and domain. Ex: http://www.tigomoney.com.sv/","Si deja este campo en blanco, el valor predeterminado será magento Comportamiento: el enlace dirige al usuario al Home Page. Use urls completas, incluyendo protocolo y dominio. Ex: http://www.tigomoney.com.sv/"
"Test Mode Enabled?","Modo de Prueba Habilitado?"
"Debug Mode Enabled?","Modo de Depuración Habilitado?"
"New Order status","Estado del Nuevo Pedido"
"Continue Shopping URL - Failure","Enlace Seguir Comprando - Compra fallida"
"Continue Shopping URL - Success","Enlace Seguir Comprando - Compra Exitosa"
"Enabled","Habilitado"